severity,market,year,check,detail,n,sample
WARN,CL,2013,timestamp_gaps_gt_1min,raw timestamp gaps detected on duplicate-free timestamps; validate against session calendar before treating as missing data,12789.0,"[{""ts_event"":""2013-01-01T23:18:00.000Z"",""prev_ts"":""2013-01-01T23:16:00.000"",""gap_minutes"":2.0,""market"":""CL"",""year"":2013},{""ts_event"":""2013-01-01T23:43:00.000Z"",""prev_ts"":""2013-01-01T23:40:00.000"",""gap_minutes"":3.0,""market"":""CL"",""year"":2013},{""ts_event"":""2013-01-01T23:46:00.000Z"",""prev_ts"":""2013-01-01T23:43:00.000"",""gap_minutes"":3.0,""market"":""CL"",""year"":2013},{""ts_event"":""2013-01-01T23:52:00.000Z"",""prev_ts"":""2013-01-01T23:50:00.000"",""gap_minutes"":2.0,""market"":""CL"",""year"":2013},{""ts_event"":""2013-01-01T23:58:00.000Z"",""prev_ts"":""2013-01-01T23:56:00.000"",""gap_minutes"":2.0,""market"":""CL"",""year"":2013}]"
WARN,CL,2013,volume_mad_z_gt_25,extreme volume spike,6369.0,"[{""ts_event"":""2013-01-02T14:00:00.000Z"",""open"":93.59,""high"":93.72,""low"":93.52,""close"":93.68,""volume"":1943.0},{""ts_event"":""2013-01-02T15:02:00.000Z"",""open"":93.57,""high"":93.6,""low"":93.47,""close"":93.5,""volume"":1262.0},{""ts_event"":""2013-01-02T16:05:00.000Z"",""open"":93.21,""high"":93.26,""low"":93.05,""close"":93.1,""volume"":2001.0},{""ts_event"":""2013-01-02T16:08:00.000Z"",""open"":93.02,""high"":93.02,""low"":92.81,""close"":92.81,""volume"":1850.0},{""ts_event"":""2013-01-02T16:09:00.000Z"",""open"":92.82,""high"":92.84,""low"":92.55,""close"":92.77,""volume"":2406.0}]"
WARN,CL,2013,dollar_volume_mad_z_gt_25,extreme price*volume spike,6422.0,"[{""ts_event"":""2013-01-02T14:00:00.000Z"",""open"":93.59,""high"":93.72,""low"":93.52,""close"":93.68,""volume"":1943.0},{""ts_event"":""2013-01-02T16:05:00.000Z"",""open"":93.21,""high"":93.26,""low"":93.05,""close"":93.1,""volume"":2001.0},{""ts_event"":""2013-01-02T16:08:00.000Z"",""open"":93.02,""high"":93.02,""low"":92.81,""close"":92.81,""volume"":1850.0},{""ts_event"":""2013-01-02T16:09:00.000Z"",""open"":92.82,""high"":92.84,""low"":92.55,""close"":92.77,""volume"":2406.0},{""ts_event"":""2013-01-02T16:40:00.000Z"",""open"":92.98,""high"":93.0,""low"":92.93,""close"":92.98,""volume"":3349.0}]"
WARN,CL,2014,zero_range,high == low bars,47135.0,"[{""ts_event"":""2014-01-01T23:13:00.000Z"",""open"":98.64,""high"":98.64,""low"":98.64,""close"":98.64,""volume"":4.0},{""ts_event"":""2014-01-01T23:15:00.000Z"",""open"":98.63,""high"":98.63,""low"":98.63,""close"":98.63,""volume"":2.0},{""ts_event"":""2014-01-01T23:18:00.000Z"",""open"":98.65,""high"":98.65,""low"":98.65,""close"":98.65,""volume"":1.0},{""ts_event"":""2014-01-01T23:19:00.000Z"",""open"":98.67,""high"":98.67,""low"":98.67,""close"":98.67,""volume"":1.0},{""ts_event"":""2014-01-01T23:25:00.000Z"",""open"":98.67,""high"":98.67,""low"":98.67,""close"":98.67,""volume"":4.0}]"
WARN,CL,2014,timestamp_gaps_gt_1min,raw timestamp gaps detected on duplicate-free timestamps; validate against session calendar before treating as missing data,13609.0,"[{""ts_event"":""2014-01-01T23:10:00.000Z"",""prev_ts"":""2014-01-01T23:08:00.000"",""gap_minutes"":2.0,""market"":""CL"",""year"":2014},{""ts_event"":""2014-01-01T23:13:00.000Z"",""prev_ts"":""2014-01-01T23:11:00.000"",""gap_minutes"":2.0,""market"":""CL"",""year"":2014},{""ts_event"":""2014-01-01T23:21:00.000Z"",""prev_ts"":""2014-01-01T23:19:00.000"",""gap_minutes"":2.0,""market"":""CL"",""year"":2014},{""ts_event"":""2014-01-01T23:25:00.000Z"",""prev_ts"":""2014-01-01T23:22:00.000"",""gap_minutes"":3.0,""market"":""CL"",""year"":2014},{""ts_event"":""2014-01-01T23:28:00.000Z"",""prev_ts"":""2014-01-01T23:26:00.000"",""gap_minutes"":2.0,""market"":""CL"",""year"":2014}]"
WARN,CL,2014,abs_close_return_gt_2pct,large 1-minute close-to-close move,2.0,"[{""ts_event"":""2014-08-20T00:00:00.000Z"",""open"":92.92,""high"":92.92,""low"":92.88,""close"":92.89,""volume"":66.0},{""ts_event"":""2014-09-26T11:22:00.000Z"",""open"":92.98,""high"":92.98,""low"":92.98,""close"":92.98,""volume"":1.0}]"
WARN,CL,2014,hl_range_gt_2pct,large 1-minute high-low range,1.0,"[{""ts_event"":""2014-12-17T16:56:00.000Z"",""open"":57.5,""high"":58.98,""low"":57.5,""close"":58.53,""volume"":8769.0}]"
WARN,CL,2014,volume_mad_z_gt_25,extreme volume spike,6310.0,"[{""ts_event"":""2014-01-02T12:37:00.000Z"",""open"":97.57,""high"":97.6,""low"":97.54,""close"":97.54,""volume"":1655.0},{""ts_event"":""2014-01-02T14:00:00.000Z"",""open"":97.57,""high"":97.66,""low"":97.39,""close"":97.42,""volume"":3178.0},{""ts_event"":""2014-01-02T14:02:00.000Z"",""open"":97.35,""high"":97.36,""low"":97.11,""close"":97.24,""volume"":2570.0},{""ts_event"":""2014-01-02T14:03:00.000Z"",""open"":97.24,""high"":97.27,""low"":97.19,""close"":97.26,""volume"":1358.0},{""ts_event"":""2014-01-02T14:05:00.000Z"",""open"":97.19,""high"":97.27,""low"":97.12,""close"":97.17,""volume"":1624.0}]"
WARN,CL,2014,dollar_volume_mad_z_gt_25,extreme price*volume spike,6501.0,"[{""ts_event"":""2014-01-02T12:37:00.000Z"",""open"":97.57,""high"":97.6,""low"":97.54,""close"":97.54,""volume"":1655.0},{""ts_event"":""2014-01-02T14:00:00.000Z"",""open"":97.57,""high"":97.66,""low"":97.39,""close"":97.42,""volume"":3178.0},{""ts_event"":""2014-01-02T14:02:00.000Z"",""open"":97.35,""high"":97.36,""low"":97.11,""close"":97.24,""volume"":2570.0},{""ts_event"":""2014-01-02T14:03:00.000Z"",""open"":97.24,""high"":97.27,""low"":97.19,""close"":97.26,""volume"":1358.0},{""ts_event"":""2014-01-02T14:05:00.000Z"",""open"":97.19,""high"":97.27,""low"":97.12,""close"":97.17,""volume"":1624.0}]"
WARN,CL,2015,zero_range,high == low bars,30258.0,"[{""ts_event"":""2015-01-01T23:18:00.000Z"",""open"":53.74,""high"":53.74,""low"":53.74,""close"":53.74,""volume"":1.0},{""ts_event"":""2015-01-01T23:22:00.000Z"",""open"":53.76,""high"":53.76,""low"":53.76,""close"":53.76,""volume"":2.0},{""ts_event"":""2015-01-02T00:23:00.000Z"",""open"":54.35,""high"":54.35,""low"":54.35,""close"":54.35,""volume"":6.0},{""ts_event"":""2015-01-02T01:45:00.000Z"",""open"":54.2,""high"":54.2,""low"":54.2,""close"":54.2,""volume"":4.0},{""ts_event"":""2015-01-02T02:03:00.000Z"",""open"":54.11,""high"":54.11,""low"":54.11,""close"":54.11,""volume"":1.0}]"
