market,year,path,rows,first_ts,last_ts,duplicate_ts,gap_count_gt_1min,zero_volume,zero_range,stale_close_run_max,close_min,close_max,volume_sum
GC,2026,/workspaces/quant_project/data/raw/GC/2026.parquet,128668,2026-01-01 23:00:00+00:00,2026-05-14 23:59:00+00:00,0,520,0,771,3,4104.4,5586.2,14365043.0
HG,2010,/workspaces/quant_project/data/raw/HG/2010.parquet,165316,2010-06-07 00:00:00+00:00,2010-12-31 21:14:00+00:00,0,19918,0,37119,12,2.7235,4.4515,4232419.0
HG,2011,/workspaces/quant_project/data/raw/HG/2011.parquet,301022,2011-01-02 23:00:00+00:00,2011-12-30 22:14:00+00:00,0,29590,0,54699,9,2.999,4.646,9455059.0
HG,2012,/workspaces/quant_project/data/raw/HG/2012.parquet,319525,2012-01-02 23:00:00+00:00,2012-12-31 22:13:00+00:00,0,22009,0,57236,16,3.24,3.9875,12105966.0
HG,2013,/workspaces/quant_project/data/raw/HG/2013.parquet,310315,2013-01-01 23:00:00+00:00,2013-12-31 22:14:00+00:00,0,22227,0,66168,17,2.9845,3.791,12682857.0
HG,2014,/workspaces/quant_project/data/raw/HG/2014.parquet,292821,2014-01-01 23:00:00+00:00,2014-12-30 22:14:00+00:00,0,29585,0,86057,16,2.7705,3.4235,10476589.0
HG,2015,/workspaces/quant_project/data/raw/HG/2015.parquet,305606,2015-01-01 23:00:00+00:00,2015-12-31 21:56:00+00:00,0,27870,0,72906,24,2.002,2.9555,12155977.0
HG,2016,/workspaces/quant_project/data/raw/HG/2016.parquet,312712,2016-01-03 23:00:00+00:00,2016-12-30 21:59:00+00:00,0,23890,0,78939,21,1.9365,2.7385,14276534.0
HG,2017,/workspaces/quant_project/data/raw/HG/2017.parquet,326289,2017-01-02 23:00:00+00:00,2017-12-29 21:59:00+00:00,0,17834,0,69407,28,2.475,3.32,18176183.0
HG,2018,/workspaces/quant_project/data/raw/HG/2018.parquet,339515,2018-01-01 23:00:00+00:00,2018-12-31 21:59:00+00:00,0,9781,0,47452,18,2.553,3.314,21940620.0
HG,2019,/workspaces/quant_project/data/raw/HG/2019.parquet,330909,2019-01-01 23:00:00+00:00,2019-12-31 21:59:00+00:00,0,15400,0,77176,20,2.4825,2.995,14018383.0
HG,2020,/workspaces/quant_project/data/raw/HG/2020.parquet,340803,2020-01-01 23:00:00+00:00,2020-12-31 21:59:00+00:00,0,9054,0,54459,15,1.9735,3.6445,15580086.0
HG,2021,/workspaces/quant_project/data/raw/HG/2021.parquet,342538,2021-01-03 23:00:00+00:00,2021-12-31 21:59:00+00:00,0,8447,0,33701,13,3.491,4.8875,16075316.0
